OCCU_DESC,WK_TYPE,CJOB_TYPE,CJOB_NAME1,CJOB_NO,CJOB_NAME2,AVAILREQNUM,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,SALARY_L,SALARY_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE
"客服專員 - 公部門資訊服務諮詢專線",全職,06,客服／門市,060102,客戶服務人員,5,20220711,"受理民眾或公部門員工對於政府推出之各種網站、APP，提供相關系統功能引導操作、系統問題報修等業務服務。➤處理電話、文字、信件或社群行銷工具(例如. Facebook、IG、Line@...等)之產品諮詢或報修服務。 ➤系統報修案件派送與後續追蹤處理，提升客戶滿意度。 ➤電腦系統操作，文書作業處理。 ➤客訴處理。 ➤主管交辦事項。➤需為資通訊、傳播或管理相關科系畢業(高中職以上)，具有工作性質程度相當之訓練與工作經驗者，或具相關證照或工作經歷，經公部門認可者不拘。➤了解基本網頁障礙排除，熟悉office軟體操作，打字速度30字/分鐘以上。➤認真負責，有意願學習，工作配合態度佳。➤態度親切有禮，樂觀活潑積極，口齒清晰，溝通表達能力佳，做事仔細有耐心，抗壓能力強，樂於提供服務。",台北市信義區,1年以上,輪班三班制,月薪,30000,33000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=321363&HIRE_ID=11180163","程曦資訊整合股份有限公司",20220511
"園藝人員",全職,20,農林漁牧相關,200102,園藝栽培工,1,額滿為止,"對園藝，菜園，園藝治療，樸門農法有興趣喜歡山林大自然者(需住宿公司)需會簡易木工水電修復",台北市士林區,無,日班、中班,日薪,1344,1344,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=388132&HIRE_ID=11124255","旭陽谷建設開發股份有限公司",20220421
"土木工程師",全職,11,營建／製圖／施作,110102,土木工程師,5,額滿為止,"從事建築或土木工程之研究與指導，以及管理監督各類土木工程施工、保養、修繕等工作。",台北市不限,無,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=143568&HIRE_ID=11181617","林同棪工程顧問股份有限公司",20220511
"全端軟體工程師",全職,08,資訊／軟體／系統,080304,Internet程式設計師,2,20220730,"1. 進行系統前端與後端的開發整合2. 參與過專案，具備前後端開發經驗，有C＃， SQL， javascript，WebAPI，JQuery...等    整合經驗者尤佳3.系統單元測試、功能測試、程式碼檢核，確保系統可靠及易於維護。4.主管交派事項",台北市內湖區,2年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=134308&HIRE_ID=11217341","承隆能源科技股份有限公司",20220530
"電源工程師",全職,07,工程／研發／生技,070115,電源工程師,3,20220704,"#12◎1. 執行AC/DC ,DC/DC & Battery charger, 電源設計規範文件。線路圖，Layout與零件用料等設計 Review，以達成客戶之規範與要求2. 電源規格之評估並提供理論與實驗數據等資訊，以利相關工作人員參考3. 即時反應客戶及追蹤問題並與客戶溝通協調",台北市內湖區,4年以上,日班,月薪,28000,35000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=76768&HIRE_ID=11164957","精英電腦股份有限公司",20220504
"瓦薩比薩-儲備幹部【台北市內科店】 ",全職,01,經營／行政／總務,010105,儲備幹部,3,20220719,"【學習與工作內容】1.門市外場服務及管理學習、執行。2.門市內場廚房各項工作站技能學習、獨立作業。3.門市餐廳招募、人事、排班、人員訓練學習及執行。4.門市餐廳經營、行銷學習、執行。5.個性開朗，具有基本溝通能力6.學習團隊合作，達成團隊目標。【完善的訓練系統】1. 服務流程訓練、廚房技術訓練、盤點庫存管理、人員排班訓練。2. 主管店務訓練、專業管理課程...等3. 各工作站實作與訓練，通過考核薪資Up Up Up!【暢通的升遷管道】1. 教育訓練制度與晉升制度結合，保障優秀人才快速升遷。2. 公司具多重升遷管道，通過培訓及考核者，得以擔任管理職。台北市內湖區洲子街183號1F (距捷運西湖站110公尺)",台北市內湖區,無,輪班二班制,月薪,30000,35000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=883191&HIRE_ID=11201561","森邦股份有限公司",20220519
"弱電圖控工程師(此為線上就業博覽會)",全職,11,營建／製圖／施作,110201,建築製圖員,1,20220615,"1.圖控軟體規劃設計、計劃書等技術文件撰寫／圖控程式撰寫與功能測試。2.客戶教育訓練。3.定期系統維護保養。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,5年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=382245&HIRE_ID=11220221","福麟系統整合股份有限公司",20220531
"電話客服專員(0512線上徵才)",全職,02,業務／貿易／銷售,020302,電話行銷人員,30,額滿為止,"◎◎◎#141.接聽電話客服專線，受理客戶進線需求2.受理管道進線後建立案件3.email及電話通知窗口4.追蹤工程師回報並將紀錄案件結果",台北市大安區,無,日班、夜班、輪班三班制、中班,月薪,26000,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1199795&HIRE_ID=11150607","宏華國際股份有限公司",20220510
"漢堡王-兼職服務員[微風南山]",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,20220706,"外場作業:環境整潔櫃台作業:收銀作業/顧客服務*內場作業:食品安全/材料準備/高品質餐點製作*可配合彈性排班 受訓地點：漢堡王華納店：台北市信義區松壽路16號 (信義華納威秀2樓, 捷運市政府站/台北101站)漢堡王光華店：台北市中正區八德路一段31號(近捷運忠孝新生站1號出口)",台北市信義區,無,日班、夜班、輪班三班制、中班,時薪,168,168,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=149530&HIRE_ID=11171779","家城股份有限公司",20220506
"資訊作業人員_資訊部 ■無經驗可「此為線上就業博覽會」",全職,08,資訊／軟體／系統,080106,資訊設備管制人員,3,20220615,"1.資訊軟硬體設備安裝、故障排除、維護2.機房維運、管理、備份等資訊作業3.USER問題排除4.資訊系統、監視系統、網路系統監控5.須配合輪班111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市北投區,無,輪班三班制,月薪,36000,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2419623&HIRE_ID=11200459","樂天國際商業銀行股份有限公司",20220519
"交通指揮人員",全職,11,營建／製圖／施作,110309,粗工,1,20220727,"工地車輛交通管制指揮(依『原住民族工作權保障法』進用名額」)",台北市不限,無,日班,月薪,36000,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2263683&HIRE_ID=11215363","曜鼎營造有限公司",20220527
"醫藥品法規服務專員",全職,03,人資／法務／智財,030302,法務／智財主管,1,額滿為止,"醫藥品法規服務及辦理查驗登記",台北市內湖區,無,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2467179&HIRE_ID=11187049","微功商行有限公司",20220513
"產品設計師/產品設計師助理",全職,05,廣告／公關／設計,050301,美術、商業設計師,1,額滿為止,"1.將設計概念具體化，成為產品規格圖與商品包裝等。2. 調整產品的設計外觀及實際功能。3. 以團隊合作為導向，（如：創意部門，製程部門、銷售等），共同評估產品概念和生產細部內容及可行性4.精通Illustrator和Photoshop與相關設計軟件5.在禮品、家居，餐具，擺設品或嬰兒服飾設計經驗6. 有很強的職業道德感7. 組織能力強， 能注意細節8. 同時間管理多個專案9.配合公司要求，目標與結果導向10. 熟悉陶瓷生產流程優先考慮",台北市中山區,無,日班,月薪,35000,45000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2466163&HIRE_ID=11172125","英屬維京群島商苜吉有限公司台灣分公司",20220507
"賣場營業員",全職,06,客服／門市,060202,賣場（人員／儲備幹部）,2,額滿為止,"1.商品銷售，為顧客推薦商品2.顧客服務，提供優質服務與顧客需求跟進3.店櫃整理，維持店櫃整潔及商品陳列4.商品控管，進貨入庫、庫存管理及定期盤點5.銷售達成，達成店鋪與個人業績目標",台北市內湖區,無,輪班二班制,月薪,31500,40000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1730&HIRE_ID=11128719","昇恒昌股份有限公司",20220510
"內外場人員(安穩僱用計畫2.0)",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,2,20220630,"負責餐飲場所的內外場聯繫、顧客菜單諮詢、點餐供餐及桌面環境清潔。負責備料出餐",台北市士林區,無,日班、輪班二班制、中班,月薪,25250,27000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2412273&HIRE_ID=11180229","小聚人複合式餐飲",20220511
"（安穩僱用計畫）房務員",全職,16,旅遊／餐飲／休閒,160105,房務員,3,20220630,"1.旅館內房間與工作區域之清潔工作。2.日常清潔保養工作與定期保養工作。3.其它清潔相關交辦事項。",台北市大安區,無,日班、中班,月薪,28000,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=923893&HIRE_ID=10680657","瑞誠商業股份有限公司",20211108
"專案主任",全職,11,營建／製圖／施作,110110,工地監工,2,20311231,"生技製藥 / 無塵室空調、電機、水電設計、電腦繪圖、估報價、ISO文件管理、工程管理、現場監造...等。",台北市中山區,3年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=999049&HIRE_ID=10844415","漢欣工程股份有限公司",20211221
"兼職駐點清潔",兼職,19,清潔／家事／托育(保母),190104,環境清潔工,1,額滿為止,"負責公共區域環境的清潔打掃工作。",台北市中正區,無,部份工時：10時00分至14時00分,時薪,168,168,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2365819&HIRE_ID=11131567","居家美清潔大師有限公司",20220419
"電話民調(兼職)",兼職,21,行銷／企劃／專案,210105,市場調查/市調分析,15,20220613,"由中心提供場所、電腦電話、文具等設備，使用電腦撥號，並使用受訪者使用的語言（國/臺/客語）進行電話訪問，根據電腦顯示的題目詢問受訪者意見並紀錄。 ",台北市文山區,無,部份工時：13時00分至17時00分,時薪,168,200,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=151224&HIRE_ID=11184875","世新大學",20220512
"餐廳服務人員",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,2,20221007,"客人接待 桌邊服務上菜及收拾桌邊清潔",台北市松山區,無,日班,月薪,25250,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2450829&HIRE_ID=10863755","典皇有限公司",20211210
"【急徵】主管隨行廚師 (提供住宿)",全職,16,旅遊／餐飲／休閒,160290,其他類廚師,1,額滿為止,"【職務內容】1.採買食材及烹調菜餚。2.廚房收納，環境清潔與維護。3.居家打掃整理，衣物清洗整熨。4.可彈性配合老闆作息並待命。5.其他主管事項交辦協助。6.提供免費食宿 (能住宿者優先錄取)。，",台北市松山區,無,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2455987&HIRE_ID=11150787","前思資訊有限公司",20220427
"（北昌營造）維修工程師(此為線上就業博覽會)",全職,11,營建／製圖／施作,110301,營建施工人員,2,20220615,"1.具建築或機電相關經驗。2.負責集合住宅售後維修工作。3.具交屋及大樓公設點交執行工作經驗佳。4.具大型社區住宅維修經驗佳。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,1年以上,日班,月薪,35000,55000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=99241&HIRE_ID=11165107","皇翔建設股份有限公司",20220504
"清潔人員(台鐵南港車站)",全職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,10,20220718," 台北市南港區台鐵南港車站環境清潔",台北市南港區,無,日班,月薪,27000,27000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=776490&HIRE_ID=11196891","信實公寓大廈管理維護股份有限公司",20220518
"【營運事業】AIR SPACE台北地區-門市正職人員",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,20220630,"於專櫃、賣場或店面門市內提供商品介紹及銷售服務。",台北市不限,無,日班、中班,月薪,28000,35000,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2412285&HIRE_ID=10792791","新地國際股份有限公司 ",20211220
"電子商務／網路行銷(此為線上招募媒合會)",全職,21,行銷／企劃／專案,210103,行銷企劃人員,1,20220615,"1.協助公司網購事業之業務發展。2.協助網路商店品牌招商、銷售管理與商品溝通及業績成效追蹤。3.商品類別頁面活動規劃及維護。4.協助月結、業務報表製作。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢www.okwork.taipei",台北市信義區,3年以上,輪班二班制,月薪,35000,,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=641590&HIRE_ID=11158669","統一百華股份有限公司",20220502
"網路行銷企劃人員 ",全職,21,行銷／企劃／專案,210202,網站行銷企劃,3,20220622,"1.協助電商商品基本上架作業與更新維護，客服處理2.主管交辦事項、後勤支援工作3.與各平台窗口接洽，溝通討論活動及執行4.社群行銷小編(Facebook/Line/Instagram)、Google&Yahoo廣告5.廣告及文案創意發想：影音、圖片素材腳本撰寫",台北市北投區,1年以上,日班,月薪,26000,45000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2326387&HIRE_ID=11141803","捷仕特科技有限公司",20220422
"專櫃／門市（人員／儲備幹部）",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,5,20220802,"#03◎＊負責介紹及銷售門市之商品。 ＊POS收銀作業/電話接單/產品試吃/叫賣/包裝...等 ＊須配合各門市調店及支援 一個月需排班60~120小時 西湖門市/西門武昌/松山機場/市民大道門市/臺北車站",台北市不限,1年以上,,時薪,168,168,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=826692&HIRE_ID=11224875","順成食品實業有限公司",20220602
"門市服務人員(信義莊敬店)",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,20220628,"1.商品陳列、補貨上架。2.倉庫整理、賣場環境維護。3.提供顧客之接待與需求服務。4.POS系統操作，顧客收銀結帳。5.服務台辦卡/寄物/退換貨。6.協助同事工作，完成主管交辦事項。",台北市信義區,無,日班、輪班二班制、中班,月薪,28900,28900,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=17555&HIRE_ID=11153961","寶雅國際股份有限公司",20220428
"客服人員█無經驗可→(此為線上就業博覽會)",全職,06,客服／門市,060102,客戶服務人員,2,20220615,"1.總機及播音服務。2.來客接待。3.活動諮詢。4.館內各項服務項目。5.親和力佳，具服務熱忱。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市大同區,無,日班、夜班、輪班三班制,月薪,30500,32000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=917961&HIRE_ID=11209015","京站實業股份有限公司",20220524
".Net程式設計工程師(台北)",全職,08,資訊／軟體／系統,080202,軟(韌)體設計工程師,2,20220630,"1. 熟悉C#、.NetFramework，並具備開發階層式網站經驗者2. 熟悉Microsoft Visual Studio 開發工具 3. 熟悉Microsoft SQL 資料庫開發附加條件：	 1.具VC或C++語言開發應用程式工作經驗。2.具資料庫相關開發經驗尤佳。3.具影像處理相關經驗者尤佳。4.具 .Net 開發相關經驗者尤佳。5.具資料庫或程式設計證照者尤佳。其他條件:1.該職缺會依其專業能力調整敘薪2.需出差，一年累積時間未定",台北市中正區,無,日班,月薪,33000,55000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=115473&HIRE_ID=10975803","全景軟體股份有限公司",20220414
"【臺北總公司】總務工務專員／主任(此為線上就業博覽會)",全職,01,經營／行政／總務,010301,行政總務主管,1,20220615,"1.協助商場影城修繕、議比價與驗收作業。2.總務相關制度規劃。3.預算與費用管理。4.節能專案。5.合約洽談。6.集團大宗採購作業。7.物業管理相關教育訓練。 工作具備條件：1.抗壓性強、樂觀、善於溝通2.邏輯清淅、數字能力強3.熟悉百貨業之各項法令規章4.理工科系背景為佳 111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市中山區,2年以上,日班,月薪,32000,48000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=917054&HIRE_ID=11185541","派帝娜實業股份有限公司",20220512
"便利商店門職【職場學習及再適應計畫4/25-6/23】",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,1,20220623,"收銀、補貨、清潔。",台北市內湖區,無,日班、夜班、中班,月薪,25250,25250,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2330351&HIRE_ID=11152059","鴻森國際實業有限公司",20220427
"《6/30艋舺站小徵》門市兼職■無經驗可",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,30,20220630,"1.咖啡及其他飲品調製。2.製作簡易餐點/輕食。3.結帳與收銀，整理現金收據。4.維護工作環境。5.咖啡豆及冲煮器具之專業介紹和銷售。6.定期盤點飲料與食材。【6/30(四) 下午2:00-4:00 ,艋舺站辦理微型現場徵才活動】",台北市不限,無,日班、中班,時薪,168,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2316199&HIRE_ID=11222383","路易莎職人咖啡股份有限公司",20220601
"店員",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,2,20220621,"1.介紹及銷售店內商品(咖啡豆, 茶…等等)。 2.操作咖啡機以及茶具讓客人試喝或購買飲品。 3.洗杯盤及清潔環境。 4.提供店內餐飲服務並用POS機結帳。 5.具備咖啡廳或賣場銷售員之經驗者優先考慮。",台北市內湖區,2年以上,日班,月薪,32000,35000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2444871&HIRE_ID=11138519","小布村啟航國際有限公司",20220421
"(內湖區)社區服務員",全職,21,行銷／企劃／專案,210203,活動企劃人員,1,20220704,"1.推展老人到宅服務方案，招募/組訓義工，服務失能、失依、失智老人。2.結合本鄉本土愛心，照顧本鄉本土長輩，凝聚社會資源。3.站務行政管理。*具備社工、行銷、企劃、業務、銷售經驗佳",台北市內湖區,1年以上,日班,月薪,32000,43000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=554467&HIRE_ID=11165095","財團法人華山社會福利慈善事業基金會",20220504
"信義區保全人員",全職,18,保全／軍警消,180101,保全人員,2,20220717,"1、負責門禁管制2、針對特定處所進行監視3、維持住戶公共安全4、負責安全維護管理5、負責機動巡邏",台北市信義區,無,日班、夜班、輪班三班制、中班,月薪,32000,32000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=19598&HIRE_ID=11193653","國聯保全股份有限公司",20220525
"電商營運PM(此為線上就業博覽會)",全職,21,行銷／企劃／專案,210302,營運管理師／系統整合／ERP專案師,1,20220615,"1.管理電商品類運營單位，與商品部門共同規劃商品檔期、操盤促銷，對電商銷售業績負責。2.負責品類全年度銷售計畫與商品促銷活動、以及配合平台主題活動的進行，並後續效益分析。3.協助維護平台營運與商品提報與上架、品類優化管理、商品更新、商品信息呈現，銷售統計與分析相關事宜。4.有數據分析能力能針對經營的品類產出成效並持續優化關鍵指標。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市內湖區,3年以上,日班,月薪,40000,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=5813&HIRE_ID=11226977","燦坤實業股份有限公司",20220602
"計時人員(台北中坡南店)",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,2,20220731,"乾貨、生鮮等食品用品進貨、上架與陳列、收銀結帳、包裝入袋、店務清潔與維護、電話接聽廣播、顧客服務等。具經驗佳~可先電洽詹店長約面試時間或親洽",台北市南港區,無,日班、夜班、中班,時薪,168,168,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=97015&HIRE_ID=11219435","惠康百貨股份有限公司",20220531
"財務財務部)",全職,04,財務／金融／保險,040109,財務專業人員,1,20220530,"1.能獨立作業完成財務相關工作。 2.處理銀行往來業務、資金調度等。 3.編製各類報表。 4.協助主管處理交辦事宜。",台北市內湖區,2年以上,日班,月薪,32000,35000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=51479&HIRE_ID=11090823","捷元股份有限公司",20220330
"保全員 安管員 （商辦／住宅／豪宅／醫院／學校）(此為線上就業博覽會)",全職,18,保全／軍警消,180101,保全人員,20,20220615,"大樓巡邏、防竊作業及竊盜處理工作等安全維護工作。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,無,日班、夜班,月薪,36000,42000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=7218&HIRE_ID=11225725","安橋保全股份有限公司",20220602
"程式設計師（資訊加值）(此為線上就業博覽會)",全職,08,資訊／軟體／系統,080304,Internet程式設計師,2,20220615,"1..Net平台架構。2.ORACLE及SQL SERVER資料庫運用。3.ASP.NET.C#，程式文件設計與撰寫。4.負責系統設計、建置、管理與維護。5.解決使用者系統問題。6.邏輯能力與時間管理能力佳。7.工作態度積極具責任感，勇於接受挑戰，重視團隊合作。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市內湖區,2年以上,日班,月薪,40000,55000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=93745&HIRE_ID=11218219","華經資訊企業股份有限公司",20220530
"幼教老師",全職,14,教育／學術／研究,140102,幼教老師,2,20220730,"幼兒教育資格:幼保相關科系畢業者應屆畢業生或夜校生也可以(工作時間也可稍做調整，再面議)",台北市大安區,無,日班,月薪,30000,40000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2311887&HIRE_ID=11217921","臺北市私立親親幼兒園",20220530
"洗髮助理",全職,17,醫療／美容／保健,170207,美髮類助理,2,20220608,"負責顧客洗頭及吹乾頭髮",台北市中山區,無,日班,月薪,25250,30000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2449651&HIRE_ID=11109461","函藝髮廊",20220408
"【安穩僱用】兼職服務人員",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,10,20220620,"不分內/外場都是屬於合併型態的工作內容:製作麵團、桿麵、煮麵、製作高湯、洗切蔬菜備料、炸天婦羅、包飯糰、收銀、洗碗與收拾餐盤碗筷、掃地..等",台北市中正區,1年以上,輪班三班制,時薪,178,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2208197&HIRE_ID=11045121","台灣東利多股份有限公司",20220309
"照顧服務員",全職,17,醫療／美容／保健,170113,照顧服務員,5,20220724,"【本公司為取得長照2.0 居家及專業碼服務單位， 雙北特約，雙北罕見哦~】●工作內容：提供居家案主一對一服務。居家照顧：協助沐浴、穿換衣服、洗衣、環境整理、餐飲服務、協助進食、服藥、大小便處理、陪同就醫、陪同散步、陪同運動、陪同或代購物品、關節活動、翻身拍背、家務服務等。※1. 需具備照顧服務員證照或照顧服務員訓練結業證明。2. 主要服務對象為老人、身心障礙者。3. 能獨立完成照服工作，具照服工作經驗者佳。4.能自主管理時間、意願度高者優先錄取。※依居家照服員個人居住地就近安排。",台北市不限,1年以上,日班,時薪,210,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2382743&HIRE_ID=11207745","私立愛吾愛居家長照機構",20220526
"銷售工程師/Sales Engineer",全職,02,業務／貿易／銷售,020102,業務人員,1,額滿為止,"Electronics college graduate. Fluent English speaking ＆ writing required， Electronics， automotive，  security ， and / or international trade experience preferred. 電子汽車國貿相關經驗者佳。應徵時請同時附上中、英文履歷表與自傳。◎ 應徵時請註明：應徵AL(Advance Level)或EL(Entry Level)。AL：已有5-8年經驗者。起薪範圍面議(4萬元以上)。EL：沒有經驗或需受培訓者。起薪範圍在30，000~35，000元。◎ 應徵方式：請依台灣就業通網站上，本公司之公司介紹頁面所寫的「應徵方式」投遞履歷。",台北市信義區,無,日班,月薪,30000,,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=761560&HIRE_ID=11221367","俊華電子企業股份有限公司",20220602
"MIS資訊人員(0512校徵)",全職,08,資訊／軟體／系統,080306,MIS╱網管類人員,1,20220709,"1.建置管理與維護公司所有電腦系統 2.處理個人電腦軟硬體的故障問題 3.管理與維護公司網路和資料，並進行備份工作 4.執行公司資訊管理相關作業5.維護更新設計公司網頁 其他條件：1. MIS相關經驗二年以上 或【資管.資工大學應屆畢業生】對專業有自信者 2. 邏輯觀念強，有數字概念、學習意願高工作態度主動積極 3. 具備良好的執行力，抗壓性有自律特質，團隊合作，善於資源整合",台北市南港區,2年以上,日班,月薪,26000,,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2289963&HIRE_ID=11174655","亨昇國際企業股份有限公司",20220509
